no,x,y
1,259.0390,218.6620
2,259.1902,218.6620
3,259.3414,218.6620
4,259.4925,218.6620
5,259.6437,218.6620
6,259.7949,218.6620
7,259.9461,218.6620
8,260.0972,218.6620
9,260.2484,218.6620
10,260.3996,218.6620
11,260.5508,218.6620
12,260.7020,218.6620
13,260.8531,218.6620
14,261.0043,218.6620
15,261.1555,218.6620
16,261.3067,218.6620
17,261.4578,218.6620
18,261.6090,218.6620
19,261.7602,218.6620
20,261.9114,218.6620
21,262.0626,218.6620
22,262.2137,218.6620
23,262.3649,218.6620
24,262.5161,218.6620
25,262.6673,218.6620
26,262.8184,218.6620
27,262.9696,218.6620
28,263.1208,218.6620
29,263.2720,218.6620
30,263.4232,218.6620
31,263.5743,218.6620
32,263.7255,218.6620
33,263.8767,218.6620
34,264.0279,218.6620
35,264.1790,218.6620
36,264.3302,218.6620
37,264.4814,218.6620
38,264.6326,218.6620
39,264.7838,218.6620
40,264.9349,218.6620
41,265.0861,218.6620
42,265.2373,218.6620
43,265.3885,218.6620
44,265.5396,218.6620
45,265.6908,218.6620
46,265.8420,218.6620
47,265.9932,218.6620
48,266.1443,218.6620
49,266.2955,218.6620
50,266.4467,218.6620
51,266.5979,218.6620
52,266.7491,218.6620
53,266.9002,218.6620
54,267.0514,218.6620
55,267.2026,218.6620
56,267.3538,218.6620
57,267.5049,218.6620
58,267.6561,218.6620
59,267.8073,218.6620
60,267.9585,218.6620
61,268.1097,218.6620
62,268.2608,218.6620
63,268.4120,218.6620
64,268.5632,218.6620
65,268.7144,218.6620
66,268.8655,218.6620
67,269.0167,218.6620
68,269.1679,218.6620
69,269.3191,218.6620
70,269.4703,218.6620
71,269.6214,218.6620
72,269.7726,218.6620
73,269.9238,218.6620
74,270.0750,218.6620
75,270.2261,218.6620
76,270.3773,218.6620
77,270.5285,218.6620
78,270.6797,218.6620
79,270.8309,218.6620
80,270.9820,218.6620
81,271.1332,218.6620
82,271.2844,218.6620
83,271.4356,218.6620
84,271.5867,218.6620
