no,x,y
1,80.984,199.13
2,81.122,199.13
3,81.259,199.13
4,81.397,199.13
5,81.534,199.13
6,81.67,199.13
7,81.809,199.13
8,81.947,199.13
9,82.084,199.13
10,82.222,199.13
11,82.36,199.13
12,82.498,199.13
13,82.635,199.13
14,82.772,199.13
15,82.908,199.13
16,83.046,199.13
17,83.183,199.13
18,83.321,199.13
19,83.458,199.13
20,83.597,199.13
21,83.735,199.13
22,83.872,199.13
23,84.01,199.13
24,84.148,199.13
25,84.286,199.13
26,84.424,199.13
27,84.562,199.13
28,84.701,199.13
29,84.839,199.13
30,84.976,199.13
31,85.114,199.13
32,85.25,199.13
33,85.388,199.13
34,85.526,199.13
35,85.664,199.13
36,85.8,199.13
37,85.937,199.13
38,86.075,199.13
39,86.213,199.13
40,86.351,199.13
41,86.488,199.13
42,86.626,199.13
43,86.763,199.13
44,86.901,199.13
45,87.039,199.13
46,87.176,199.13
47,87.314,199.13
48,87.451,199.13
49,87.588,199.13
50,87.726,199.13
51,87.864,199.13
52,88.003,199.13
53,88.14,199.13
54,88.278,199.13
55,88.415,199.13
56,88.554,199.13
57,88.692,199.13
58,88.829,199.13
59,88.966,199.13
60,89.104,199.13
61,89.242,199.13
62,89.38,199.13
63,89.517,199.13
64,89.655,199.13
65,89.792,199.13
66,89.93,199.13
67,90.068,199.13
68,90.205,199.13
69,90.342,199.13
70,90.479,199.13
71,90.616,199.13
72,90.754,199.13
73,90.891,199.13
74,91.029,199.13
75,91.167,199.13
76,91.304,199.13
77,91.441,199.13
78,91.579,199.13
79,91.717,199.13
80,91.855,199.13
81,91.992,199.13
82,92.128,199.13
83,92.266,199.13
84,92.403,199.13
85,92.541,199.13
86,92.678,199.13
87,92.816,199.13
88,92.954,199.13
89,93.092,199.13
90,93.228,199.13
91,93.364,199.13
92,93.502,199.13
93,93.64,199.13
94,93.777,199.13
95,93.914,199.13
96,94.05,199.13
97,94.189,199.13
98,94.012,199.13
99,94.126,199.13
100,94.239,199.13
101,94.352,199.13
102,94.466,199.13
103,94.58,199.13
104,94.694,199.13
105,94.808,199.13
106,94.922,199.13
107,95.037,199.13
108,95.151,199.13
109,95.264,199.13
110,95.377,199.13
111,95.49,199.13
112,95.605,199.13
113,95.719,199.13
114,95.833,199.13
115,95.947,199.13
116,96.061,199.13
117,96.175,199.13
118,96.289,199.13
119,96.403,199.13
120,96.517,199.13
121,96.63,199.13
122,96.744,199.13
123,96.858,199.13
124,96.972,199.13
125,97.087,199.13
126,97.2,199.13
127,97.314,199.13
128,97.428,199.13
129,97.541,199.13
130,97.655,199.13
131,97.769,199.13
132,97.883,199.13
133,97.998,199.13
134,98.112,199.13
135,98.226,199.13
136,98.34,199.13
137,98.453,199.13
138,98.567,199.13
139,98.681,199.13
140,98.795,199.13
141,98.909,199.13
142,99.022,199.13
143,99.136,199.13
144,99.25,199.13
145,99.363,199.13
146,99.478,199.13
147,99.592,199.13
148,99.706,199.13
149,99.82,199.13
150,99.934,199.13
151,100.047,199.13
152,100.162,199.13
153,100.276,199.13
154,100.389,199.13
155,100.503,199.13
156,100.617,199.13
157,100.73,199.13
158,100.845,199.13
159,100.958,199.13
160,101.072,199.13
161,101.186,199.13
162,101.3,199.13
163,101.414,199.13
164,101.528,199.13
165,101.641,199.13
166,101.755,199.13
167,101.869,199.13
168,101.983,199.13
169,102.097,199.13
170,102.211,199.13
171,102.325,199.13
172,102.439,199.13
173,102.552,199.13
174,102.666,199.13
175,102.779,199.13
176,102.893,199.13
177,103.006,199.13
178,103.12,199.13
179,103.234,199.13
180,103.347,199.13
181,103.462,199.13
182,103.576,199.13
183,103.69,199.13
184,103.805,199.13
185,103.918,199.13
186,104.031,199.13
187,104.145,199.13
188,104.259,199.13
189,104.373,199.13
190,104.486,199.13
191,104.6,199.13
192,104.714,199.13
193,104.828,199.13
194,104.941,199.13
195,105.055,199.13
196,105.17,199.13
197,105.284,199.13
198,105.397,199.13
199,105.51,199.13
200,105.624,199.13
201,105.737,199.13
202,105.851,199.13
203,105.965,199.13
204,106.078,199.13
205,106.192,199.13
206,106.305,199.13
207,106.419,199.13
208,106.533,199.13
209,106.647,199.13
210,106.76,199.13
211,106.874,199.13
212,106.988,199.13
213,107.101,199.13
214,107.216,199.13
215,107.216,199.13
216,107.332,199.13
217,107.449,199.13
218,107.566,199.13
219,107.682,199.13
220,107.8,199.13
221,107.917,199.13
222,108.033,199.13
223,108.15,199.13
224,108.268,199.13
225,108.385,199.13
226,108.502,199.13
227,108.618,199.13
228,108.735,199.13
229,108.851,199.13
230,108.968,199.13
231,109.085,199.13
