no,x,y
1,82.36,197.76
2,83.36,197.76
3,84.36,197.76
4,85.36,197.76
5,86.36,197.76
6,87.36,197.76
7,88.36,197.76
8,89.36,197.76
9,90.36,197.76
10,91.36,197.76
11,92.36,197.76
12,93.36,197.76
13,94.36,197.76
14,95.36,197.76
15,96.36,197.76
16,97.36,197.76
17,98.36,197.76
18,99.36,197.76
19,100.36,197.76
20,101.36,197.76
21,102.36,197.76
22,103.36,197.76
23,104.36,197.76
24,105.36,197.76
25,106.36,197.76
26,107.36,197.76
27,108.36,197.76
28,109.36,197.76
29,110.36,197.76
30,111.36,197.76
31,112.36,197.76
32,113.36,197.76
33,114.36,197.76
34,115.36,197.76
35,116.36,197.76
36,117.36,197.76
37,118.36,197.76
38,119.36,197.76
39,120.36,197.76
40,121.36,197.76
41,122.36,197.76
42,123.36,197.76
43,124.36,197.76
44,125.36,197.76
45,126.36,197.76
46,127.36,197.76
47,128.36,197.76
48,129.36,197.76
49,130.36,197.76
50,131.36,197.76
51,132.36,197.76
52,133.36,197.76
53,134.36,197.76
54,135.36,197.76
55,136.36,197.76
56,137.36,197.76
57,138.36,197.76
58,139.36,197.76
59,140.36,197.76
60,141.36,197.76
61,142.36,197.76
62,143.36,197.76
63,144.36,197.76
64,145.36,197.76
65,146.36,197.76
66,147.36,197.76
67,148.36,197.76
68,149.36,197.76
69,150.36,197.76
70,151.36,197.76
71,152.36,197.76
72,153.36,197.76
73,154.36,197.76
74,155.36,197.76
75,156.36,197.76
76,157.36,197.76
77,158.36,197.76
78,159.36,197.76
79,160.36,197.76
80,161.36,197.76
81,162.36,197.76
82,163.36,197.76
83,164.36,197.76
84,165.36,197.76
85,166.36,197.76
86,167.36,197.76
87,168.36,197.76
88,169.36,197.76
89,170.36,197.76
90,171.36,197.76
91,172.36,197.76
92,173.36,197.76
93,174.36,197.76
94,175.36,197.76
95,176.36,197.76
96,177.36,197.76
97,178.36,197.76
98,179.36,197.76
99,180.36,197.76
100,181.36,197.76
101,182.36,197.76
102,183.36,197.76
103,184.36,197.76
104,185.36,197.76
105,186.36,197.76
106,187.36,197.76
107,188.36,197.76
108,189.36,197.76
109,190.36,197.76
110,191.36,197.76
111,192.36,197.76
112,193.36,197.76
113,194.13,198.59
114,195.01,199.03
115,196.05,199.67
116,197.01,200.15
117,198.01,200.64
118,198.96,191.65
119,199.55,202.27
120,200.06,202.76
121,200.54,203.42
122,201.03,203.84
123,201.4,204.19
124,201.98,204.72
125,202.64,205.36
126,203.09,205.95
127,203.49,206.37
128,203.81,206.67
129,204.23,207.11
130,204.73,207.59
131,205.15,208.07
132,205.59,208.54
133,206.1,208.98
134,206.53,209.49
135,207.05,210.56
136,208.07,210.98
137,208.6,211.58
138,209.26,212.26
139,209.96,212.91
140,210.6,213.68
141,211.6,214.62
142,212.46,215.55
143,213.4,216.41
144,214.42,216.81
145,215.56,217.37
146,216.57,217.81
147,217.66,218.39
148,218.58,218.56
149,219.58,218.56
150,220.58,218.56
151,221.58,218.56
152,222.58,218.56
153,223.58,218.56
154,224.58,218.56
155,225.58,218.56
156,226.58,218.56
157,227.58,218.56
158,228.58,218.56
159,229.58,218.56
160,230.58,218.56
161,231.58,218.56
162,232.58,218.56
163,233.58,218.56
164,234.58,218.56
165,235.58,218.56
166,236.58,218.56
167,237.58,218.56
168,238.58,218.56
169,239.58,218.56
170,240.58,218.56
171,241.58,218.56
172,242.58,218.56
173,243.58,218.56
174,244.58,218.56
175,245.58,218.56
176,246.58,218.56
177,247.58,218.56
178,248.58,218.56
179,249.58,218.56
180,250.58,218.56
181,251.58,218.56
182,252.58,218.56
183,253.58,218.56
184,254.58,218.56
185,255.58,218.56
186,256.58,218.56
187,257.58,218.56
188,258.58,218.56
189,259.58,218.56
190,260.58,218.56
191,261.58,218.56
192,262.58,218.56
193,263.58,218.56
194,264.58,218.56
195,265.58,218.56
196,266.58,218.56
197,267.58,218.56
198,268.58,218.56
199,269.58,218.56
200,270.58,218.56
201,271.58,218.56
202,272.58,218.56
203,273.58,218.56
204,274.58,218.56
205,275.58,218.56
206,276.58,218.56
207,277.58,218.56
208,278.58,218.56
209,279.58,218.56
210,280.58,218.56
211,281.58,218.56
212,282.58,218.56
213,283.58,218.56
214,284.58,218.56
215,285.58,218.56
216,286.58,218.56
217,287.58,218.56
218,288.58,218.56
219,289.58,218.56
220,290.58,218.56
221,291.58,218.56
222,292.58,218.56
223,293.58,218.56
224,294.58,218.56
225,295.58,218.56
226,296.58,218.56
227,297.58,218.56
228,298.58,218.56
229,299.58,218.56
230,300.58,218.56
231,301.58,218.56
232,302.58,218.56
233,303.58,218.56
234,304.58,218.56
235,305.58,218.56
236,306.58,218.56
237,307.58,218.56
238,308.58,218.56
239,309.58,218.56
240,310.58,218.56
241,311.58,218.56
242,312.58,218.56
243,313.58,218.56
244,314.58,218.56
245,315.58,218.56
246,316.58,218.56
247,317.58,218.56
248,318.58,218.56
249,319.58,218.56
250,320.58,218.56
251,321.58,218.56
252,322.58,218.56
253,323.58,218.56
254,324.58,218.56
255,325.58,218.56
256,326.58,218.56
257,327.58,218.56
258,328.58,218.56
259,329.58,218.56
260,330.58,218.56
261,331.58,218.56
262,332.58,218.56
263,333.58,218.56
264,334.58,218.56
265,335.58,218.56
266,336.58,218.56
267,337.58,218.56
268,338.58,218.56
269,339.58,218.56
270,340.58,218.56
271,341.58,218.56
272,342.58,218.56
273,343.58,218.56
274,344.58,218.56
275,345.58,218.56
276,346.58,218.56
277,347.58,218.56
278,348.58,218.56
279,349.58,218.56
280,350.58,218.56
281,351.58,218.56
282,352.58,218.56
283,353.58,218.56
284,354.58,218.56
285,355.58,218.56
286,356.58,218.56
287,357.58,218.56
288,358.58,218.56
289,359.58,218.56
290,360.58,218.56
291,361.58,218.56
292,362.58,218.56
293,363.58,218.56
294,364.58,218.56
295,365.58,218.56
296,366.58,218.56
297,366.96,218.56
298,376.45,219.15
299,368.29,219.64
300,369.01,220.02
301,369.81,220.64
302,370.39,221.75
303,371.08,222.85
304,371.08,223.85
305,371.08,224.85
306,371.08,225.85
307,371.08,226.85
308,371.08,227.85
309,371.08,228.85
310,371.08,229.85
311,371.08,230.85
312,371.08,231.85
313,371.08,232.85
314,371.08,233.85
315,371.08,234.85
316,371.08,235.85
317,371.08,236.85
318,371.08,237.85
319,371.08,238.85
320,371.08,239.85
321,371.08,240.85
322,371.08,241.85
323,371.08,242.85
324,371.08,243.85
325,371.08,244.85
326,371.08,245.85
327,371.08,246.85
328,371.08,247.85
329,371.08,248.85
330,371.08,249.85
331,371.08,250.85
332,371.08,251.85
333,371.08,252.85
334,371.08,253.85
335,371.08,254.85
336,371.08,255.85
337,371.08,256.85
338,371.08,257.85
339,371.08,258.85
340,371.08,259.85
341,371.08,260.85
342,371.08,261.85
343,371.08,262.85
344,371.08,263.85
345,371.08,264.85
346,371.08,265.85
347,371.08,266.85
348,371.08,267.85
349,371.08,268.85
350,371.08,269.85
351,371.08,270.85
352,371.08,271.85
353,371.08,272.85
354,371.08,273.85
355,371.08,274.85
356,371.08,275.85
357,371.08,276.85
358,371.08,277.85
359,371.08,278.85
360,371.08,279.85
361,371.08,280.85
362,371.08,281.85
363,371.08,282.85
364,371.08,283.85
365,371.08,284.85
366,371.08,285.85
367,371.08,286.85
368,371.08,287.85
369,371.08,288.85
370,371.08,289.85
371,371.08,290.85
372,371.08,291.85
373,371.08,292.85
374,371.08,293.85
375,371.08,294.85
376,371.08,295.85
377,371.08,296.85
378,371.08,297.85
379,371.08,298.85
380,371.08,299.85
381,371.08,300.85
382,371.08,301.85
383,371.08,302.85
384,371.08,303.85
385,371.08,304.85
386,371.08,305.85
387,371.08,306.85
388,371.08,307.85
389,371.08,308.85
390,371.08,309.85
391,371.08,310.85
392,371.08,311.85
393,371.08,312.85
394,371.08,313.85
395,371.08,314.85
396,371.08,315.85
397,371.08,316.85
398,371.08,317.85
399,371.08,318.85
400,371.08,319.85
401,371.08,320.85
402,371.08,321.85
403,371.08,322.85
404,371.08,323.85
405,371.08,324.85
406,371.08,325.85
407,371.08,326.85
408,371.08,327.85
409,371.08,328.85
410,371.08,329.85
411,371.08,330.85
412,371.08,331.85
413,371.08,332.85
414,371.08,333.85
415,371.08,335.45
416,370.57,335.87
417,370.01,337.08
418,369.39,338.22
419,368.67,339.31
420,367.69,340.36
421,366.86,341.16
422,365.81,342.25
423,364.94,343.08
424,363.91,344.15
425,363.14,344.95
426,362.27,345.76
427,361.33,346.71
428,360.34,347.76
429,359.22,348.85
430,358.31,349.75
431,357.62,350.42
432,356.69,351.35
433,355.87,352.17
434,355.15,352.94
435,354.27,353.82
436,353.28,354.79
437,352.45,355.71
438,351.49,356.65
439,350.58,357.62
440,349.83,358.37
441,348.86,359.28
442,347.9,360.25
443,346.82,361.24
444,345.93,362.23
445,345.11,363.02
446,344.25,363.99
447,343.31,364.9
448,342.49,365.74
449,341.33,366.72
450,340.31,367.91
451,339.41,368.83
452,338.54,369.71
453,337.48,370.72
454,336.71,371.52
455,335.83,372.37
456,335.03,373.12
457,334.12,373.93
458,332.89,374.8
459,331.46,375.7
460,330.31,376.22
461,328.31,376.98
462,326.96,377.24
463,325.96,377.24
464,324.96,377.24
465,323.96,377.24
466,322.96,377.24
467,321.96,377.24
468,320.96,377.24
469,319.96,377.24
470,318.96,377.24
471,317.96,377.24
472,316.96,377.24
473,315.96,377.24
474,314.96,377.24
475,313.96,377.24
476,312.96,377.24
477,311.96,377.24
478,310.96,377.24
479,309.96,377.24
480,308.96,377.24
481,307.96,377.24
482,306.96,377.24
483,305.96,377.24
484,304.96,377.24
485,303.96,377.24
486,302.96,377.24
487,301.96,377.24
488,300.62,376.81
489,299.52,376.11
490,298.55,374.39
491,298.02,374.36
492,297.23,372.94
493,297.11,372.01
494,297.11,371.01
495,297.11,370.01
496,297.11,369.01
497,297.11,368.01
498,297.11,367.01
499,297.11,366.01
500,297.11,365.01
501,297.11,364.01
502,297.11,363.01
503,297.11,362.01
504,297.11,361.01
505,297.11,360.01
506,297.11,359.01
507,297.11,358.01
508,297.11,357.01
509,297.11,356.01
510,297.11,355.01
511,297.11,354.01
512,297.11,353.01
513,297.11,352.01
514,297.11,351.01
515,297.11,350.01
516,297.11,349.01
517,296.58,347.56
518,296.07,346.71
519,295.42,345.88
520,294.58,344.29
521,293.54,344.68
522,292.79,344.2
523,292.13,343.86
524,291.13,343.86
525,290.13,343.86
526,289.13,343.86
527,288.13,343.86
528,287.13,343.86
529,286.13,343.86
530,285.13,343.86
531,284.13,343.86
532,283.13,343.86
533,282.13,343.86
534,281.13,343.86
535,280.13,343.86
536,279.13,343.86
537,278.13,343.86
538,277.13,343.86
539,276.13,343.86
540,275.13,343.86
541,274.13,343.86
542,273.13,343.86
543,272.13,343.86
544,271.13,343.86
545,270.13,343.86
546,269.13,343.86
547,268.13,343.86
548,267.13,343.86
549,266.13,343.86
550,265.13,343.86
551,264.13,343.86
552,263.13,343.86
553,262.13,343.86
554,261.13,343.86
555,260.13,343.86
556,259.13,343.86
557,258.13,343.86
558,257.13,343.86
559,256.13,343.86
560,255.13,343.86
561,254.13,343.86
562,253.13,343.86
563,252.13,343.86
564,251.13,343.86
565,250.13,343.86
566,249.13,343.86
567,248.13,343.86
568,247.13,343.86
569,246.13,343.86
570,245.13,343.86
571,244.13,343.86
572,243.13,343.86
573,242.13,343.86
574,241.13,343.86
575,240.13,343.86
576,239.13,343.86
577,238.13,343.86
578,237.13,343.86
579,236.13,343.86
580,235.13,343.86
581,234.13,343.86
582,233.13,343.86
583,232.13,343.86
584,231.13,343.86
585,230.13,343.86
586,229.13,343.86
587,228.13,343.86
588,227.13,343.86
589,226.13,343.86
590,225.13,343.86
591,224.13,343.86
592,223.13,343.86
593,222.13,343.86
594,221.13,343.86
595,220.13,343.86
