no,x,y
1,27.9750,447.6800
2,27.9750,447.5949
3,27.9750,447.5098
4,27.9750,447.4248
5,27.9750,447.3397
6,27.9750,447.2546
7,27.9750,447.1695
8,27.9750,447.0844
9,27.9750,446.9994
10,27.9750,446.9143
11,27.9750,446.8292
12,27.9750,446.7441
13,27.9750,446.6590
14,27.9750,446.5740
15,27.9750,446.4889
16,27.9750,446.4038
17,27.9750,446.3187
18,27.9750,446.2337
19,27.9750,446.1486
20,27.9750,446.0635
21,27.9750,445.9784
22,27.9750,445.8933
23,27.9750,445.8083
24,27.9750,445.7232
25,27.9750,445.6381
26,27.9750,445.5530
27,27.9750,445.4679
28,27.9750,445.3829
29,27.9750,445.2978
30,27.9750,445.2127
31,27.9750,445.1276
32,27.9750,445.0425
33,27.9750,444.9575
34,27.9750,444.8724
35,27.9750,444.7873
36,27.9750,444.7022
37,27.9750,444.6171
38,27.9750,444.5321
39,27.9750,444.4470
40,27.9750,444.3619
41,27.9750,444.2768
42,27.9750,444.1917
43,27.9750,444.1067
44,27.9750,444.0216
45,27.9750,443.9365
46,27.9750,443.8514
47,27.9750,443.7663
48,27.9750,443.6813
49,27.9750,443.5962
50,27.9750,443.5111
51,27.9750,443.4260
52,27.9750,443.3410
53,27.9750,443.2559
54,27.9750,443.1708
55,27.9750,443.0857
56,27.9750,443.0006
57,27.9750,442.9156
58,27.9750,442.8305
59,27.9750,442.7454
60,27.9750,442.6603
61,27.9750,442.5752
62,27.9750,442.4902
63,27.9750,442.4051
64,27.9750,442.3200
65,27.9750,442.2349
66,27.9750,442.1498
67,27.9750,442.0648
68,27.9750,441.9797
69,27.9750,441.8946
70,27.9750,441.8095
71,27.9750,441.7244
72,27.9750,441.6394
73,27.9750,441.5543
74,27.9750,441.4692
75,27.9750,441.3841
76,27.9750,441.2990
77,27.9750,441.2140
78,27.9750,441.1289
79,27.9750,441.0438
80,27.9750,440.9587
81,27.9750,440.8737
82,27.9750,440.7886
83,27.9750,440.7035
84,27.9750,440.6184
85,27.9750,440.5333
86,27.9750,440.4483
87,27.9750,440.3632
88,27.9750,440.2781
89,27.9750,440.1930
90,27.9750,440.1079
91,27.9750,440.0229
92,27.9750,439.9378
93,27.9750,439.8527
94,27.9750,439.7676
95,27.9750,439.6825
96,27.9750,439.5975
97,27.9750,439.5124
98,27.9750,439.4273
99,27.9750,439.3422
100,27.9750,439.2571
101,27.9750,439.1721
102,27.9750,439.0870
103,27.9750,439.0019
104,27.9750,438.9168
105,27.9750,438.8317
106,27.9750,438.7467
107,27.9750,438.6616
108,27.9750,438.5765
109,27.9750,438.4914
110,27.9750,438.4063
111,27.9750,438.3213
112,27.9750,438.2362
113,27.9750,438.1511
114,27.9750,438.0660
115,27.9750,437.9810
116,27.9750,437.8959
117,27.9750,437.8108
118,27.9750,437.7257
119,27.9750,437.6406
120,27.9750,437.5556
121,27.9750,437.4705
122,27.9750,437.3854
123,27.9750,437.3003
124,27.9750,437.2152
125,27.9750,437.1302
126,27.9750,437.0451
127,27.9750,436.9600
128,27.9750,436.8429
129,27.9750,436.7257
130,27.9750,436.6086
131,27.9750,436.4914
132,27.9750,436.3743
133,27.9750,436.2572
134,27.9750,436.1400
135,27.9750,436.0229
136,27.9750,435.9057
137,27.9750,435.7886
138,27.9750,435.6714
139,27.9750,435.5543
140,27.9750,435.4372
141,27.9750,435.3200
142,27.9750,435.2029
143,27.9750,435.0857
144,27.9750,434.9686
