no,x,y
1,28.018,448.117
2,28.018,448.04
3,28.018,447.962
4,28.018,447.884
5,28.018,447.807
6,28.018,447.73
7,28.018,447.653
8,28.018,447.575
9,28.018,447.498
10,28.018,447.42
11,28.018,447.342
12,28.018,447.265
13,28.018,447.187
14,28.018,447.109
15,28.018,447.032
16,28.018,446.955
17,28.018,446.877
18,28.018,446.8
19,28.018,446.721
20,28.018,446.644
21,28.018,446.565
22,28.018,446.488
23,28.018,446.41
24,28.018,446.332
25,28.018,446.253
26,28.018,446.176
27,28.018,446.099
28,28.018,446.021
29,28.018,445.943
30,28.018,445.865
31,28.018,445.787
32,28.018,445.708
33,28.018,445.629
34,28.018,445.551
35,28.018,445.474
36,28.018,445.396
37,28.018,445.318
38,28.018,445.24
39,28.018,445.161
40,28.018,445.083
41,28.018,445.004
42,28.018,444.926
43,28.018,444.848
44,28.018,444.77
45,28.018,444.692
46,28.018,444.615
47,28.018,444.537
48,28.018,444.461
49,28.018,444.382
50,28.018,444.304
51,28.018,444.226
52,28.018,444.148
53,28.018,444.071
54,28.018,443.992
55,28.018,443.914
56,28.018,443.836
57,28.018,443.759
58,28.018,443.681
59,28.018,443.603
60,28.018,443.525
61,28.018,443.448
62,28.018,443.37
63,28.018,443.292
64,28.018,443.215
65,28.018,443.136
66,28.018,443.059
67,28.018,442.982
68,28.018,442.904
69,28.018,442.826
70,28.018,442.748
71,28.018,442.671
72,28.018,442.592
73,28.018,442.514
74,28.018,442.436
75,28.018,442.358
76,28.018,442.28
77,28.018,442.203
78,28.018,442.125
79,28.018,442.048
80,28.018,441.97
81,28.018,441.892
82,28.018,441.815
83,28.018,441.738
84,28.018,441.66
85,28.018,441.582
86,28.018,441.503
87,28.018,441.426
88,28.018,441.347
89,28.018,441.27
90,28.018,441.191
91,28.018,441.114
92,28.018,441.036
93,28.018,440.959
94,28.018,440.881
95,28.018,440.803
96,28.018,440.726
97,28.018,440.648
98,28.018,440.57
99,28.018,440.492
100,28.018,440.415
101,28.018,440.337
102,28.018,440.26
103,28.018,440.182
104,28.018,440.105
105,28.018,440.028
106,28.018,439.949
107,28.018,439.871
108,28.018,439.794
109,28.018,439.716
110,28.018,439.639
111,28.018,439.561
112,28.018,439.484
113,28.018,439.406
114,28.018,439.328
115,28.018,439.249
116,28.018,439.171
117,28.018,439.092
118,28.018,439.015
119,28.018,438.938
120,28.018,438.86
121,28.018,438.782
122,28.018,438.705
123,28.018,438.626
124,28.018,438.548
125,28.018,438.47
126,28.018,438.392
127,28.018,438.314
128,28.018,438.235
129,28.018,438.158
130,28.018,438.08
131,28.018,438.003
132,28.018,437.925
133,28.018,437.847
134,28.018,437.768
135,28.018,437.695
136,28.018,437.603
137,28.018,437.51
138,28.018,437.417
139,28.018,437.323
140,28.019,437.231
141,28.019,437.137
142,28.019,437.044
143,28.02,436.952
144,28.02,436.858
145,28.021,436.766
146,28.021,436.673
147,28.022,436.58
148,28.023,436.487
149,28.024,436.395
150,28.025,436.302
151,28.026,436.209
152,28.027,436.116
153,28.028,436.024
154,28.029,435.931
155,28.03,435.838
156,28.032,435.745
157,28.033,435.652
158,28.035,435.558
159,28.037,435.465
160,28.038,435.371
161,28.04,435.278
162,28.042,435.185
163,28.044,435.091
164,28.047,434.998
165,28.049,434.905
166,28.052,434.812
167,28.054,434.719
168,28.057,434.627
169,28.06,434.533
170,28.063,434.44
171,28.066,434.347
172,28.069,434.254
173,28.073,434.161
174,28.076,434.068
175,28.08,433.976
176,28.084,433.882
177,28.088,433.79
178,28.092,433.697
179,28.097,433.604
180,28.101,433.511
181,28.106,433.418
182,28.111,433.325
183,28.117,433.232
184,28.122,433.14
185,28.128,433.047
186,28.134,432.953
187,28.14,432.861
188,28.147,432.769
189,28.154,432.675
190,28.161,432.582
191,28.168,432.49
192,28.176,432.397
193,28.184,432.305
194,28.192,432.212
195,28.201,432.119
196,28.21,432.026
197,28.22,431.933
198,28.23,431.84
199,28.24,431.747
200,28.251,431.655
201,28.262,431.563
202,28.274,431.471
203,28.286,431.379
204,28.299,431.286
205,28.312,431.193
206,28.326,431.101
207,28.34,431.01
208,28.356,430.918
209,28.372,430.826
210,28.388,430.734
211,28.406,430.642
212,28.425,430.55
213,28.444,430.458
214,28.464,430.367
215,28.485,430.277
216,28.507,430.187
217,28.53,430.097
218,28.555,430.007
219,28.581,429.918
220,28.608,429.829
221,28.637,429.74
222,28.666,429.652
223,28.698,429.565
224,28.731,429.479
225,28.767,429.393
226,28.804,429.308
227,28.843,429.224
228,28.885,429.141
229,28.929,429.059
230,28.976,428.978
231,29.025,428.899
232,29.077,428.821
233,29.132,428.746
234,29.19,428.673
235,29.25,428.603
236,29.313,428.535
237,29.379,428.471
238,29.449,428.409
239,29.522,428.35
240,29.597,428.295
241,29.673,428.243
242,29.754,428.195
243,29.836,428.15
244,29.92,428.109
245,30.005,428.071
246,30.092,428.036
247,30.179,428.006
248,30.267,427.977
249,30.357,427.952
250,30.447,427.929
251,30.539,427.908
252,30.629,427.889
253,30.721,427.873
254,30.813,427.858
255,30.905,427.845
256,30.996,427.834
257,31.089,427.823
258,31.181,427.814
259,31.273,427.806
260,31.366,427.799
261,31.458,427.793
262,31.552,427.788
263,31.644,427.783
264,31.737,427.779
265,31.83,427.776
266,31.923,427.773
267,32.016,427.77
268,32.108,427.768
269,32.2,427.766
270,32.292,427.764
271,32.386,427.762
272,32.479,427.761
273,32.571,427.76
274,32.665,427.758
275,32.757,427.757
276,32.85,427.756
277,32.943,427.755
278,33.036,427.753
279,33.128,427.752
280,33.221,427.751
281,33.314,427.749
282,33.407,427.747
283,33.5,427.745
284,33.593,427.743
285,33.686,427.741
286,33.779,427.738
287,33.872,427.736
288,33.966,427.733
289,34.06,427.73
290,34.153,427.726
291,34.245,427.722
292,34.339,427.718
293,34.432,427.714
294,34.525,427.709
295,34.618,427.705
296,34.71,427.699
297,34.802,427.694
298,34.895,427.688
299,34.794,427.688
300,34.905,427.688
301,35.018,427.688
302,35.13,427.688
303,35.242,427.688
304,35.354,427.688
305,35.466,427.688
306,35.577,427.688
307,35.689,427.688
308,35.801,427.688
309,35.912,427.688
310,36.024,427.688
311,36.136,427.688
312,36.249,427.688
313,36.361,427.688
314,36.472,427.688
315,36.583,427.688
316,36.695,427.688
317,36.807,427.688
318,36.919,427.688
319,37.031,427.688
320,37.142,427.688
321,37.254,427.688
322,37.366,427.688
323,37.478,427.688
324,37.59,427.688
325,37.702,427.688
326,37.813,427.688
327,37.924,427.688
328,38.037,427.688
329,38.147,427.688
330,38.259,427.688
331,38.37,427.688
332,38.482,427.688
333,38.594,427.688
334,38.706,427.688
335,38.818,427.688
336,38.93,427.688
337,39.042,427.688
338,39.154,427.688
339,39.266,427.688
340,39.378,427.688
341,39.49,427.688
342,39.602,427.688
343,39.713,427.688
344,39.825,427.688
345,39.936,427.688
346,40.048,427.688
347,40.16,427.688
348,40.272,427.688
349,40.383,427.688
350,40.496,427.688
351,40.608,427.688
352,40.719,427.688
353,40.83,427.688
354,40.943,427.688
355,41.054,427.688
356,41.167,427.688
357,41.279,427.688
358,41.391,427.688
359,41.501,427.688
360,41.613,427.688
361,41.726,427.688
362,41.837,427.688
363,41.949,427.688
364,42.06,427.688
365,42.173,427.688
366,42.285,427.688
367,42.395,427.688
368,42.507,427.688
369,42.619,427.688
370,42.73,427.688
371,42.841,427.688
372,42.953,427.688
373,43.064,427.688
374,43.177,427.688
375,43.289,427.688
376,43.4,427.688
377,43.513,427.688
378,43.623,427.688
379,43.736,427.688
380,43.847,427.688
381,43.96,427.688
382,44.071,427.688
383,44.183,427.688
384,44.294,427.688
385,44.407,427.688
386,44.518,427.688
387,44.63,427.688
388,44.743,427.688
389,44.854,427.688
390,44.965,427.688
391,45.078,427.688
392,45.19,427.688
393,45.301,427.688
394,45.413,427.688
395,45.525,427.688
396,45.637,427.688
