route_name,route_id,trip_id,start_point,start_time,end_point,end_time,length,runtime,direction
purple,00011,00101,DEP-PL,04:46:03,PP01,04:55:33,1348,00:09:30,0
purple,00011,00116,PP01,04:55:33,PP16,05:58:20,20906,01:02:47,0
purple,00011,00201,DEP-PL,04:50:13,PP01,04:59:43,1352,00:09:30,0
purple,00011,00216,PP01,04:59:43,PP16,06:02:30,20906,01:02:47,0
purple,00011,00301,DEP-PL,05:20:30,PP01,05:30:00,1352,00:09:30,0
purple,00011,00316,PP01,05:30:00,PP16,06:07:18,20906,00:37:18,0
purple,00011,00401,DEP-PL,05:29:30,PP01,05:39:00,1352,00:09:30,0
purple,00011,00416,PP01,05:39:00,PP16,06:14:18,20906,00:35:18,0
purple,00011,00501,DEP-PL,05:38:30,PP01,05:48:00,1352,00:09:30,0
purple,00011,00516,PP01,05:48:00,PP16,06:21:18,20906,00:33:18,0
purple,00011,00601,DEP-PL,05:44:30,PP01,05:54:00,1352,00:09:30,0
purple,00011,00616,PP01,05:54:00,PP16,06:27:18,20906,00:33:18,0
purple,00011,00701,DEP-PL,05:50:30,PP01,06:00:00,1352,00:09:30,0
purple,00011,00716,PP01,06:00:00,PP16,06:33:18,20906,00:33:18,0
purple,00011,00801,DEP-PL,05:56:30,PP01,06:06:00,1352,00:09:30,0
purple,00011,00816,PP01,06:06:00,PP16,06:39:18,20906,00:33:18,0
purple,00011,00901,DEP-PL,06:02:30,PP01,06:12:00,1352,00:09:30,0
purple,00011,00916,PP01,06:12:00,PP16,06:45:18,20906,00:33:18,0
purple,00011,01001,DEP-PL,06:08:30,PP01,06:18:00,1352,00:09:30,0
purple,00011,01016,PP01,06:18:00,PP16,06:51:18,20906,00:33:18,0
purple,00011,01101,DEP-PL,06:14:30,PP01,06:24:00,1352,00:09:30,0
purple,00011,01116,PP01,06:24:00,PP16,06:57:18,20906,00:33:18,0
purple,00011,01201,DEP-PL,06:20:30,PP01,06:30:00,1352,00:09:30,0
purple,00011,01216,PP01,06:30:00,PP16,07:03:18,20906,00:33:18,0
purple,00011,00116,PT4,06:35:32,PP16,07:08:50,21313,00:34:58,0
purple,00011,00216,PT4,06:42:00,PP16,07:15:18,21313,00:34:58,0
purple,00011,00316,PT4,06:48:00,PP16,07:21:18,21313,00:34:58,0
purple,00011,00416,PT4,06:54:00,PP16,07:27:18,21313,00:34:58,0
purple,00011,00516,PT4,07:00:00,PP16,07:33:18,21313,00:34:58,0
purple,00011,00616,PT4,07:06:00,PP16,07:39:18,21313,00:34:58,0
purple,00011,00716,PT4,07:12:00,PP16,07:45:18,21313,00:34:58,0
purple,00011,00816,PT4,07:18:00,PP16,07:51:18,21313,00:34:58,0
purple,00011,00916,PT4,07:24:00,PP16,07:57:18,21313,00:34:58,0
purple,00011,01016,PT4,07:30:00,PP16,08:03:18,21313,00:34:58,0
purple,00011,01116,PT4,07:36:00,PP16,08:09:18,21313,00:34:58,0
purple,00011,01216,PT4,07:42:00,PP16,08:15:18,21313,00:34:58,0
purple,00011,00116,PT4,07:48:00,PP16,08:21:18,21313,00:34:58,0
purple,00011,00216,PT4,07:54:00,PP16,08:27:18,21313,00:34:58,0
purple,00011,00316,PT4,08:00:00,PP16,08:33:18,21313,00:34:58,0
purple,00011,00416,PT4,08:06:00,PP16,08:39:18,21313,00:34:58,0
purple,00011,00516,PT4,08:12:00,PP16,08:45:18,21313,00:34:58,0
purple,00011,00616,PT4,08:18:00,PP16,08:51:18,21313,00:34:58,0
purple,00011,00716,PT4,08:26:21,PP16,08:59:18,21313,00:34:58,0
purple,00011,00816,PT4,08:32:24,PP16,09:07:42,21313,00:34:58,0
purple,00011,01016,PT4,08:41:54,PP16,09:17:12,21313,00:34:58,0
purple,00011,01116,PT4,08:51:24,PP16,09:26:42,21313,00:34:58,0
purple,00011,00116,PT4,09:00:54,PP16,09:36:12,21313,00:34:58,0
purple,00011,00316,PT4,09:12:24,PP16,09:45:42,21313,00:34:58,0
purple,00011,00416,PT4,09:19:54,PP16,09:55:12,21313,00:34:58,0
purple,00011,00616,PT4,08:16:20,PP16,10:04:42,21313,00:34:58,0
purple,00011,00716,PT4,08:24:41,PP16,10:14:12,21313,00:34:58,0
purple,00011,00816,PT4,08:30:41,PP16,09:07:42,21313,00:37:01,0
purple,00011,01016,PT4,08:40:11,PP16,09:17:12,21313,00:37:01,0
purple,00011,01116,PT4,08:49:41,PP16,09:26:42,21313,00:37:01,0
purple,00011,00116,PT4,08:59:11,PP16,09:36:12,21313,00:37:01,0
purple,00011,00316,PT4,09:10:44,PP16,09:45:42,21313,00:34:58,0
purple,00011,00416,PT4,09:18:11,PP16,09:55:12,21313,00:37:01,0
purple,00011,00616,PT4,09:29:44,PP16,10:04:42,21313,00:34:58,0
purple,00011,00716,PT4,09:38:54,PP16,10:14:12,21313,00:37:01,0
purple,00011,00816,PT4,09:48:24,PP16,10:23:42,21313,00:37:01,0
purple,00011,01016,PT4,09:57:54,PP16,10:33:12,21313,00:37:01,0
purple,00011,01116,PT4,10:07:24,PP16,10:42:42,21313,00:37:01,0
purple,00011,00116,PT4,10:16:54,PP16,10:52:12,21313,00:37:01,0
purple,00011,00316,PT4,10:26:24,PP16,11:01:42,21313,00:37:01,0
purple,00011,00416,PT4,10:35:54,PP16,11:11:12,21313,00:37:01,0
purple,00011,00616,PT4,10:45:24,PP16,11:20:42,21313,00:37:01,0
purple,00011,00716,PT4,10:54:54,PP16,11:30:12,21313,00:37:01,0
purple,00011,00816,PT4,11:04:24,PP16,11:39:42,21313,00:37:01,0
purple,00011,01016,PT4,11:13:54,PP16,11:49:12,21313,00:37:01,0
purple,00011,01116,PT4,11:23:24,PP16,11:58:42,21313,00:37:01,0
purple,00011,00116,PT4,11:32:54,PP16,12:08:12,21313,00:37:01,0
purple,00011,00316,PT4,11:42:24,PP16,12:17:42,21313,00:37:01,0
purple,00011,00416,PT4,11:51:54,PP16,12:27:12,21313,00:37:01,0
purple,00011,00616,PT4,12:01:24,PP16,12:36:42,21313,00:37:01,0
purple,00011,00716,PT4,12:10:54,PP16,12:46:12,21313,00:37:01,0
purple,00011,00816,PT4,12:20:24,PP16,12:55:42,21313,00:37:01,0
purple,00011,01016,PT4,12:29:54,PP16,13:05:12,21313,00:37:01,0
purple,00011,01116,PT4,12:39:24,PP16,13:14:42,21313,00:37:01,0
purple,00011,00116,PT4,12:48:54,PP16,13:24:12,21313,00:37:01,0
purple,00011,00316,PT4,12:58:24,PP16,13:33:42,21313,00:37:01,0
purple,00011,00416,PT4,13:07:54,PP16,13:43:12,21313,00:37:01,0
purple,00011,00616,PT4,13:17:24,PP16,13:52:42,21313,00:37:01,0
purple,00011,00716,PT4,13:26:54,PP16,14:02:12,21313,00:37:01,0
purple,00011,00816,PT4,13:36:24,PP16,14:11:42,21313,00:37:01,0
purple,00011,01016,PT4,13:45:54,PP16,14:21:12,21313,00:37:01,0
purple,00011,01116,PT4,13:55:24,PP16,14:30:42,21313,00:37:01,0
purple,00011,00116,PT4,14:04:54,PP16,14:40:12,21313,00:37:01,0
purple,00011,00316,PT4,14:14:24,PP16,14:49:42,21313,00:37:01,0
purple,00011,00416,PT4,14:23:54,PP16,14:59:12,21313,00:37:01,0
purple,00011,00616,PT4,14:33:24,PP16,15:08:42,21313,00:37:01,0
purple,00011,00716,PT4,14:42:54,PP16,15:18:12,21313,00:37:01,0
purple,00011,00816,PT4,14:52:24,PP16,15:27:42,21313,00:37:01,0
purple,00011,01016,PT4,15:01:54,PP16,15:37:12,21313,00:37:01,0
purple,00011,01116,PT4,15:11:24,PP16,15:46:42,21313,00:37:01,0
purple,00011,00116,PT4,15:20:54,PP16,15:56:12,21313,00:37:01,0
purple,00011,00316,PT4,15:30:24,PP16,16:05:42,21313,00:37:01,0
purple,00011,00416,PT4,15:39:54,PP16,16:15:12,21313,00:37:01,0
purple,00011,00616,PT4,15:49:24,PP16,16:24:42,21313,00:37:01,0
purple,00011,00716,PT4,15:58:54,PP16,16:34:12,21313,00:37:01,0
purple,00011,00816,PT4,16:08:24,PP16,16:43:42,21313,00:37:01,0
purple,00011,01016,PT4,16:17:54,PP16,16:53:12,21313,00:37:01,0
purple,00011,01116,PT4,16:25:30,PP16,16:58:48,21313,00:34:58,0
purple,00011,01301,DEP-PL,16:31:00,PP01,16:31:30,1352,00:09:30,0
purple,00011,01316,PP01,16:31:30,PP16,17:04:48,20906,00:33:18,0
purple,00011,00116,PT4,16:37:30,PP16,17:10:48,21313,00:34:58,0
purple,00011,00316,PT4,16:44:00,PP16,17:17:18,21313,00:34:58,0
purple,00011,01401,DEP-PL,16:49:00,PP01,16:49:30,1352,00:09:30,0
purple,00011,01416,PP01,16:49:30,PP16,17:22:48,20906,00:33:18,0
purple,00011,00416,PT4,16:55:51,PP16,17:29:09,21313,00:34:58,0
purple,00011,01501,DEP-PL,17:01:00,PP01,17:01:30,1352,00:09:30,0
purple,00011,01516,PP01,17:01:30,PP16,17:34:48,20906,00:33:18,0
purple,00011,00616,PT4,17:05:30,PP16,17:40:48,21313,00:37:01,0
purple,00011,00716,PT4,17:13:30,PP16,17:46:48,21313,00:34:58,0
purple,00011,01601,DEP-PL,17:19:00,PP01,17:19:30,1352,00:09:30,0
purple,00011,01616,PP01,17:19:30,PP16,17:52:48,20906,00:33:18,0
purple,00011,00816,PT4,17:25:30,PP16,17:58:48,21313,00:34:58,0
purple,00011,01016,PT4,17:31:30,PP16,18:04:48,21313,00:34:58,0
purple,00011,01116,PT4,17:37:30,PP16,18:10:48,21313,00:34:58,0
purple,00011,01316,PT4,17:43:30,PP16,18:16:48,21313,00:34:58,0
purple,00011,00116,PT4,17:49:30,PP16,18:22:48,21313,00:34:58,0
purple,00011,00316,PT4,17:55:30,PP16,18:28:48,21313,00:34:58,0
purple,00011,01416,PT4,18:01:30,PP16,18:34:48,21313,00:34:58,0
purple,00011,00416,PT4,18:07:30,PP16,18:40:48,21313,00:34:58,0
purple,00011,01516,PT4,18:13:30,PP16,18:46:48,21313,00:34:58,0
purple,00011,00616,PT4,18:19:30,PP16,18:52:48,21313,00:34:58,0
purple,00011,00716,PT4,18:25:30,PP16,18:58:48,21313,00:34:58,0
purple,00011,01616,PT4,18:31:30,PP16,19:04:48,21313,00:34:58,0
purple,00011,00816,PT4,18:37:30,PP16,19:10:48,21313,00:34:58,0
purple,00011,01016,PT4,18:43:30,PP16,19:16:48,21313,00:34:58,0
purple,00011,01116,PT4,18:49:30,PP16,19:22:48,21313,00:34:58,0
purple,00011,01316,PT4,18:55:30,PP16,19:28:48,21313,00:34:58,0
purple,00011,00116,PT4,19:01:30,PP16,19:34:48,21313,00:34:58,0
purple,00011,00316,PT4,19:07:30,PP16,19:40:48,21313,00:34:58,0
purple,00011,01416,PT4,19:13:30,PP16,19:46:48,21313,00:34:58,0
purple,00011,00416,PT4,19:19:24,PP16,19:54:42,21313,00:37:01,0
purple,00011,01516,PT4,19:29:51,PP16,20:01:09,21313,00:34:58,0
purple,00011,00716,PT4,19:37:21,PP16,20:10:39,21313,00:34:58,0
purple,00011,01616,PT4,19:46:21,PP16,20:19:39,21313,00:34:58,0
purple,00011,01016,PT4,19:56:00,PP16,20:29:18,21313,00:34:58,0
purple,00011,01116,PT4,20:05:24,PP16,20:40:42,21313,00:37:01,0
purple,00011,00116,PT4,20:14:54,PP16,20:50:12,21313,00:37:01,0
purple,00011,00316,PT4,20:24:30,PP16,20:59:48,21313,00:37:01,0
purple,00011,00416,PT4,20:34:00,PP16,21:09:18,21313,00:37:01,0
purple,00011,01516,PT4,20:43:30,PP16,21:18:48,21313,00:37:01,0
purple,00011,00716,PT4,20:53:00,PP16,21:28:18,21313,00:37:01,0
purple,00011,01616,PT4,21:02:30,PP16,21:37:48,21313,00:37:01,0
purple,00011,01016,PT4,21:12:00,PP16,21:47:18,21313,00:37:01,0
purple,00011,01116,PT4,21:21:30,PP16,21:56:48,21313,00:37:01,0
purple,00011,00116,PT4,21:31:00,PP16,22:06:18,21313,00:37:01,0
purple,00011,00316,PT4,21:40:30,PP16,22:15:48,21313,00:37:01,0
purple,00011,00416,PT4,21:50:00,PP16,22:25:18,21313,00:37:01,0
purple,00011,01516,PT4,21:59:30,PP16,22:34:48,21313,00:37:01,0
purple,00011,00716,PT4,22:09:00,PP16,22:44:18,21313,00:37:01,0
purple,00011,01616,PT4,22:18:30,PP16,22:53:48,21313,00:37:01,0
purple,00011,01016,PT4,22:28:00,PP16,23:03:18,21313,00:37:01,0
purple,00011,01116,PT4,22:37:00,PP16,23:12:48,21313,00:37:01,0
purple,00011,00116,PT4,22:47:00,PP16,23:22:18,21313,00:37:01,0
purple,00012,00118,PP16,06:00:00,PT4,06:32:33,21240,00:33:37,1
purple,00012,00218,PP16,06:04:34,PT4,06:39:01,21240,00:35:31,1
purple,00012,00318,PP16,06:11:24,PT4,06:45:01,21240,00:34:41,1
purple,00012,00418,PP16,06:17:24,PT4,06:51:01,21240,00:34:41,1
purple,00012,00518,PP16,06:23:09,PT4,06:57:01,21240,00:34:56,1
purple,00012,00618,PP16,06:29:24,PT4,07:03:01,21240,00:34:41,1
purple,00012,00718,PP16,06:35:24,PT4,07:09:01,21240,00:34:41,1
purple,00012,00818,PP16,06:41:24,PT4,07:15:01,21240,00:34:41,1
purple,00012,00918,PP16,06:47:24,PT4,07:21:01,21240,00:34:41,1
purple,00012,01018,PP16,06:53:24,PT4,07:27:01,21240,00:34:41,1
purple,00012,01118,PP16,06:59:24,PT4,07:33:01,21240,00:34:41,1
purple,00012,01218,PP16,07:05:24,PT4,07:39:01,21240,00:34:41,1
purple,00012,00118,PP16,07:11:24,PT4,07:45:01,21240,00:34:41,1
purple,00012,00218,PP16,07:17:24,PT4,07:51:01,21240,00:34:41,1
purple,00012,00318,PP16,07:23:24,PT4,07:5:01,21240,00:34:41,1
purple,00012,00418,PP16,07:29:24,PT4,08:03:01,21240,00:34:41,1
purple,00012,00518,PP16,07:35:24,PT4,08:09:01,21240,00:34:41,1
purple,00012,00618,PP16,07:41:24,PT4,08:15:01,21240,00:34:41,1
purple,00012,00718,PP16,07:47:24,PT4,08:23:09,21240,00:37:02,1
