|"StnID"|"Name"|"To_StnID-21-คลองบางไผ่"|"To_StnID-22-ตลาดบางใหญ่"|"To_StnID-23-สามแยกบางใหญ่"|"To_StnID-24-บางพลู"|"To_StnID-25-บางรักใหญ่"|"To_StnID-26-บางรักน้อยท่าอิฐ"|"To_StnID-27-ไทรม้า"|"To_StnID-28-สะพานพระนั่งเกล้า"|"To_StnID-29-แยกนนทบุรี1"|"To_StnID-30-บางกระสอ"|"To_StnID-31-ศูนย์ราชการนนทบุรี"|"To_StnID-32-กระทรวงสาธารณสุข"|"To_StnID-33-แยกติวานนท์"|"To_StnID-34-วงศ์สว่าง"|"To_StnID-35-บางซ่อน"|"To_StnID-36-เตาปูน"|"To_StnID-1-หัวลำโพง"|"To_StnID-18-บางซื่อ"|"To_StnID-17-กำแพงเพชร"|"To_StnID-16-สวนจัตุจักร"|"To_StnID-15-พหลโยธิน"|"To_StnID-14-ลาดพร้าว"|"To_StnID-13-รัชดาภิเษก"|"To_StnID-12-สุทธิสาร"|"To_StnID-11-ห้วยขวาง"|"To_StnID-10-ศูนย์วัฒนธรรมแห่งประเทศไทย"|"To_StnID-9-พระราม9"|"To_StnID-8-เพชรบุรี"|"To_StnID-7-สุขุมวิท"|"To_StnID-6-ศูนย์สิริกิติ์"|"To_StnID-5-คลองเตย"|"To_StnID-4-ลุมพินี"|"To_StnID-3-สีลม"|"To_StnID-2-สามย่าน"
|"21"|"คลองบางไผ่"|"7.0000"|"8.0000"|"8.0000"|"9.0000"|"9.0000"|"10.0000"|"10.0000"|"11.0000"|"11.0000"|"12.0000"|"12.0000"|"13.0000"|"13.0000"|"14.0000"|"14.0000"|"15.0000"|"29.0000"|"16.0000"|"18.0000"|"19.0000"|"20.0000"|"21.0000"|"22.0000"|"23.0000"|"24.0000"|"26.0000"|"27.0000"|"28.0000"|"29.0000"|"29.0000"|"29.0000"|"29.0000"|"29.0000"|"29.0000"
|"22"|"ตลาดบางใหญ่"|"8.0000"|"7.0000"|"8.0000"|"8.0000"|"9.0000"|"9.0000"|"10.0000"|"10.0000"|"11.0000"|"11.0000"|"12.0000"|"12.0000"|"13.0000"|"13.0000"|"14.0000"|"14.0000"|"28.0000"|"15.0000"|"17.0000"|"18.0000"|"19.0000"|"20.0000"|"21.0000"|"22.0000"|"23.0000"|"25.0000"|"26.0000"|"27.0000"|"28.0000"|"28.0000"|"28.0000"|"28.0000"|"28.0000"|"28.0000"
|"23"|"สามแยกบางใหญ่"|"8.0000"|"8.0000"|"7.0000"|"8.0000"|"8.0000"|"9.0000"|"9.0000"|"10.0000"|"10.0000"|"11.0000"|"11.0000"|"12.0000"|"12.0000"|"13.0000"|"13.0000"|"14.0000"|"28.0000"|"15.0000"|"17.0000"|"18.0000"|"19.0000"|"20.0000"|"21.0000"|"22.0000"|"23.0000"|"25.0000"|"26.0000"|"27.0000"|"28.0000"|"28.0000"|"28.0000"|"28.0000"|"28.0000"|"28.0000"
|"24"|"บางพลู"|"9.0000"|"8.0000"|"8.0000"|"7.0000"|"8.0000"|"8.0000"|"9.0000"|"9.0000"|"10.0000"|"10.0000"|"11.0000"|"11.0000"|"12.0000"|"12.0000"|"13.0000"|"13.0000"|"27.0000"|"14.0000"|"16.0000"|"17.0000"|"18.0000"|"19.0000"|"20.0000"|"21.0000"|"22.0000"|"34.0000"|"25.0000"|"26.0000"|"27.0000"|"27.0000"|"27.0000"|"27.0000"|"27.0000"|"27.0000"
|"25"|"บางรักใหญ่"|"9.0000"|"9.0000"|"8.0000"|"8.0000"|"7.0000"|"8.0000"|"8.0000"|"9.0000"|"9.0000"|"10.0000"|"10.0000"|"11.0000"|"11.0000"|"12.0000"|"12.0000"|"13.0000"|"27.0000"|"14.0000"|"16.0000"|"17.0000"|"18.0000"|"19.0000"|"20.0000"|"21.0000"|"22.0000"|"34.0000"|"25.0000"|"26.0000"|"27.0000"|"27.0000"|"27.0000"|"27.0000"|"27.0000"|"27.0000"
|"26"|"บางรักน้อย ท่าอิฐ"|"10.0000"|"9.0000"|"9.0000"|"8.0000"|"8.0000"|"7.0000"|"8.0000"|"8.0000"|"9.0000"|"9.0000"|"10.0000"|"10.0000"|"11.0000"|"11.0000"|"12.0000"|"12.0000"|"26.0000"|"13.0000"|"15.0000"|"16.0000"|"17.0000"|"18.0000"|"19.0000"|"20.0000"|"21.0000"|"23.0000"|"24.0000"|"25.0000"|"26.0000"|"26.0000"|"26.0000"|"26.0000"|"26.0000"|"26.0000"
|"27"|"ไทรม้า"|"10.0000"|"10.0000"|"9.0000"|"9.0000"|"8.0000"|"8.0000"|"7.0000"|"8.0000"|"8.0000"|"9.0000"|"9.0000"|"10.0000"|"10.0000"|"11.0000"|"11.0000"|"12.0000"|"26.0000"|"13.0000"|"15.0000"|"16.0000"|"17.0000"|"18.0000"|"19.0000"|"20.0000"|"21.0000"|"23.0000"|"24.0000"|"25.0000"|"26.0000"|"26.0000"|"26.0000"|"26.0000"|"26.0000"|"26.0000"
|"28"|"สะพานพระนั่งเกล้า"|"11.0000"|"10.0000"|"10.0000"|"9.0000"|"9.0000"|"8.0000"|"8.0000"|"7.0000"|"8.0000"|"8.0000"|"9.0000"|"9.0000"|"10.0000"|"10.0000"|"11.0000"|"11.0000"|"25.0000"|"12.0000"|"14.0000"|"15.0000"|"16.0000"|"17.0000"|"18.0000"|"19.0000"|"20.0000"|"22.0000"|"23.0000"|"24.0000"|"25.0000"|"25.0000"|"25.0000"|"25.0000"|"25.0000"|"25.0000"
|"29"|"แยกนนทบุรี 1"|"11.0000"|"11.0000"|"10.0000"|"10.0000"|"9.0000"|"9.0000"|"8.0000"|"8.0000"|"7.0000"|"8.0000"|"8.0000"|"9.0000"|"9.0000"|"10.0000"|"10.0000"|"11.0000"|"25.0000"|"12.0000"|"14.0000"|"15.0000"|"16.0000"|"17.0000"|"18.0000"|"19.0000"|"20.0000"|"22.0000"|"23.0000"|"24.0000"|"25.0000"|"25.0000"|"25.0000"|"25.0000"|"25.0000"|"25.0000"
|"30"|"บางกระสอ"|"12.0000"|"11.0000"|"11.0000"|"10.0000"|"10.0000"|"9.0000"|"9.0000"|"8.0000"|"8.0000"|"7.0000"|"8.0000"|"8.0000"|"9.0000"|"9.0000"|"10.0000"|"10.0000"|"24.0000"|"11.0000"|"13.0000"|"14.0000"|"15.0000"|"16.0000"|"17.0000"|"18.0000"|"19.0000"|"21.0000"|"22.0000"|"23.0000"|"24.0000"|"24.0000"|"24.0000"|"24.0000"|"24.0000"|"24.0000"
