route_name,route_id,trip_id,start_point,start_time,end_point,end_time,length,runtime,direction,speed,calendar
purple,00011,00116,PP01,04:55:33,PP16,05:58:20,21240,,0,1,WD
purple,00011,00216,PP01,04:59:43,PP16,06:02:30,21240,,0,1,WD
purple,00011,00316,PP01,05:30:00,PP16,06:07:18,21240,,0,1,WD
purple,00011,00416,PP01,05:39:30,PP16,06:14:48,21240,,0,1,WD
purple,00011,00516,PP01,05:48:00,PP16,06:21:18,21240,,0,1,WD
purple,00011,00616,PP01,05:54:00,PP16,06:27:18,21240,,0,1,WD
purple,00011,00716,PP01,06:00:00,PP16,06:33:18,21240,,0,1,WD
purple,00011,00816,PP01,06:06:00,PP16,06:39:18,21240,,0,1,WD
purple,00011,00916,PP01,06:12:00,PP16,06:45:18,21240,,0,1,WD
purple,00011,01016,PP01,06:18:00,PP16,06:51:18,21240,,0,1,WD
purple,00011,01116,PP01,06:24:00,PP16,06:57:18,21240,,0,1,WD
purple,00011,01216,PP01,06:30:00,PP16,07:03:18,21240,,0,1,WD
purple,00011,00116,PP01,06:34:33,PP16,07:07:51,21240,,0,1,WD
purple,00011,00216,PP01,06:41:01,PP16,07:14:19,21240,,0,1,WD
purple,00011,00316,PP01,06:47:01,PP16,07:20:19,21240,,0,1,WD
purple,00011,00416,PP01,06:53:01,PP16,07:26:19,21240,,0,1,WD
purple,00011,00516,PP01,06:59:01,PP16,07:32:19,21240,,0,1,WD
purple,00011,00616,PP01,07:05:01,PP16,07:38:19,21240,,0,1,WD
purple,00011,00716,PP01,07:11:01,PP16,07:44:19,21240,,0,1,WD
purple,00011,00816,PP01,07:17:01,PP16,07:50:19,21240,,0,1,WD
purple,00011,00916,PP01,07:23:01,PP16,07:56:19,21240,,0,1,WD
purple,00011,01016,PP01,07:29:01,PP16,08:02:19,21240,,0,1,WD
purple,00011,01116,PP01,07:35:01,PP16,08:08:19,21240,,0,1,WD
purple,00011,01216,PP01,07:41:01,PP16,08:14:19,21240,,0,1,WD
purple,00011,00116,PP01,07:47:01,PP16,08:20:19,21240,,0,1,WD
purple,00011,00216,PP01,07:53:01,PP16,08:26:19,21240,,0,1,WD
purple,00011,00316,PP01,07:59:01,PP16,08:32:19,21240,,0,1,WD
purple,00011,00416,PP01,08:05:01,PP16,08:38:19,21240,,0,1,WD
