shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shp_01,13.80294,100.539869,0
shp_01,13.798199,100.537863,1
shp_01,13.797522,100.544064,2
shp_01,13.797726,100.55063,3
shp_01,13.79795,100.551059,4
shp_01,13.813525,100.560297,5
shp_01,13.805286,100.574971,6
shp_01,13.77143,100.573322,7
shp_01,13.770216,100.573064,8
shp_01,13.769557,100.572812,9
shp_01,13.762454,100.567289,10
shp_01,13.761062,100.566359,11
shp_01,13.760336,100.566068,12
shp_01,13.75935,100.565701,13
shp_01,13.757159,100.565194,14
shp_01,13.753089,100.564309,15
shp_01,13.743449,100.562217,16
shp_01,13.739968,100.561917,17
shp_01,13.736581,100.561348,18
shp_01,13.735013,100.560962,19
shp_01,13.733601,100.560072,20
shp_01,13.732935,100.559806,21
shp_01,13.732019,100.559776,22
shp_01,13.72975,100.559868,23
shp_01,13.725596,100.560415,24
shp_01,13.724231,100.560393,25
shp_01,13.7226,100.559953,26
shp_01,13.720192,100.559063,27
shp_01,13.72893,100.538175,28
shp_01,13.737652,100.516883,29
shp_02,13.802804,100.539794,0
shp_02,13.80469,100.53605,1
shp_02,13.805575,100.533582,2
shp_02,13.806206,100.5309,3
shp_02,13.806338,100.52995,4
shp_02,13.806454,100.520098,5
shp_02,13.806001,100.518162,6
shp_02,13.805476,100.516183,7
shp_02,13.804861,100.513812,8
shp_02,13.80445,100.513013,9
shp_02,13.803746,100.512059,10
shp_02,13.802718,100.51176,11
shp_02,13.801572,100.511493,12
shp_02,13.800696,100.511086,13
shp_02,13.792694,100.505165,14
shp_02,13.791434,100.504235,15
shp_02,13.790278,100.503331,16
shp_02,13.782232,100.490763,17
shp_02,13.780271,100.487766,18
shp_02,13.760454,100.47088,19
shp_02,13.759147,100.469835,20
shp_02,13.758264,100.469226,21
shp_02,13.756756,100.469218,22
shp_02,13.736815,100.470941,23
shp_02,13.73541,100.471162,24
shp_02,13.734358,100.471598,25
shp_02,13.729411,100.474187,26
shp_02,13.730441,100.476085,27
shp_02,13.731304,100.477168,28
shp_02,13.732864,100.478304,29
shp_02,13.740402,100.483923,30
shp_02,13.742146,100.487489,31
shp_02,13.744723,100.491226,32
shp_02,13.747419,100.494194,33
shp_02,13.747015,100.503178,34
shp_02,13.746761,100.504225,35
shp_02,13.741823,100.510495,36
shp_02,13.738169,100.51516,37
shp_02,13.73788,100.515604,38
shp_02,13.737615,100.516132,39
shp_02,13.737689,100.516445,40
shp_03,13.729411,100.474187,0
shp_03,13.724711,100.465293,1
shp_03,13.718197,100.453277,2
shp_03,13.716503,100.448588,3
shp_03,13.713426,100.439002,4
shp_03,13.713242,100.438286,5
shp_03,13.710848,100.409503,6
shp_04,13.933286,100.642254,0
shp_04,13.926257,100.626503,1
shp_04,13.874403,100.596045,2
shp_04,13.793841,100.549705,3
shp_04,13.770443,100.541312,4
shp_04,13.768314,100.540219,5
shp_04,13.766049,100.538944,6
shp_04,13.765473,100.539063,7
shp_04,13.76506,100.539166,8
shp_04,13.764835,100.539185,9
shp_04,13.764552,100.539118,10
shp_04,13.76434,100.538995,11
shp_04,13.764211,100.53885,12
shp_04,13.764129,100.538608,13
shp_04,13.764078,100.538421,14
shp_04,13.763917,100.537712,15
shp_04,13.753142,100.531769,16
shp_04,13.747186,100.530868,17
shp_04,13.74688,100.530841,18
shp_04,13.746366,100.531109,19
shp_04,13.746144,100.531401,20
shp_04,13.746021,100.531737,21
shp_04,13.744304,100.541704,22
shp_04,13.743408,100.546907,23
shp_04,13.742611,100.551317,24
shp_04,13.742339,100.55254,25
shp_04,13.741838,100.553548,26
shp_04,13.740952,100.5549,27
shp_04,13.738919,100.557775,28
shp_04,13.726056,100.575949,29
shp_04,13.710233,100.598229,30
shp_04,13.709612,100.598911,31
shp_04,13.709092,100.599322,32
shp_04,13.708396,100.599669,33
shp_04,13.69232,100.607525,34
shp_04,13.689363,100.608974,35
shp_04,13.687884,100.609741,36
shp_04,13.686322,100.610282,37
shp_04,13.685021,100.610493,38
shp_04,13.683517,100.610521,39
shp_04,13.682483,100.61038,40
shp_04,13.681568,100.610143,41
shp_04,13.634236,100.590776,42
shp_04,13.630135,100.588929,43
shp_04,13.628556,100.588276,44
shp_04,13.626976,100.588223,45
shp_04,13.625771,100.588634,46
shp_04,13.624732,100.589034,47
shp_04,13.620443,100.590527,48
shp_04,13.608626,100.59483,49
shp_04,13.6048,100.596245,50
shp_04,13.60322,100.596824,51
shp_04,13.601005,100.597379,52
shp_04,13.600543,100.597538,53
shp_04,13.600219,100.597779,54
shp_04,13.599843,100.598436,55
shp_04,13.596568,100.605483,56
shp_04,13.596174,100.606314,57
shp_04,13.595852,100.606746,58
shp_04,13.595373,100.607117,59
shp_04,13.594581,100.607553,60
shp_04,13.591377,100.609366,61
shp_04,13.590513,100.609749,62
shp_04,13.589842,100.609855,63
shp_04,13.589022,100.609688,64
shp_04,13.588202,100.609393,65
shp_04,13.576739,100.605026,66
shp_04,13.575702,100.604743,67
shp_04,13.57477,100.604675,68
shp_04,13.57349,100.604883,69
shp_04,13.567638,100.607713,70
shp_05,13.67328,100.606753,0
shp_05,13.668184,100.632304,1
shp_05,13.665812,100.644317,2
shp_05,13.664365,100.651665,3
shp_05,13.663735,100.655028,4
shp_05,13.663158,100.657371,5
shp_05,13.660872,100.662208,6
shp_05,13.64826,100.685182,7
shp_05,13.634821,100.709414,8
shp_05,13.628018,100.721743,9
shp_05,13.622173,100.734823,10
shp_05,13.648155,100.746517,11
shp_05,13.622173,100.734823,12
shp_05,13.61087,100.760282,13
shp_06,13.746495,100.529092,0
shp_06,13.744526,100.540231,1
shp_06,13.735185,100.538796,2
shp_06,13.730021,100.536795,3
shp_06,13.729442,100.536382,4
shp_06,13.729128,100.535999,5
shp_06,13.726564,100.528598,6
shp_06,13.726417,100.528378,7
shp_06,13.726216,100.528251,8
shp_06,13.726009,100.528195,9
shp_06,13.725636,100.528226,10
shp_06,13.725006,100.528603,11
shp_06,13.72468,100.528931,12
shp_06,13.722603,100.530042,13
shp_06,13.72235,100.530107,14
shp_06,13.722086,100.530074,15
shp_06,13.721752,100.529909,16
shp_06,13.721534,100.529632,17
shp_06,13.721397,100.529067,18
shp_06,13.721343,100.528444,19
shp_06,13.720986,100.527245,20
shp_06,13.718606,100.519325,21
shp_06,13.718186,100.517573,22
shp_06,13.718098,100.517094,23
shp_06,13.718197,100.516614,24
shp_06,13.718438,100.515848,25
shp_06,13.720647,100.506728,26
shp_06,13.720844,100.505022,27
shp_06,13.721037,100.499523,28
shp_06,13.72116,100.495189,29
shp_06,13.721114,100.494025,30
shp_06,13.721033,100.492969,31
shp_06,13.720632,100.490577,32
shp_06,13.720523,100.489869,33
shp_06,13.720417,100.489554,34
shp_06,13.719579,100.487155,35
shp_06,13.719454,100.486682,36
shp_06,13.71914,100.485078,37
shp_06,13.718625,100.483816,38
shp_06,13.716662,100.480189,39
shp_06,13.715738,100.479154,40
shp_06,13.714314,100.476761,41
shp_06,13.713361,100.475236,42
shp_06,13.712732,100.474315,43
shp_06,13.712384,100.473496,44
shp_06,13.712256,100.472942,45
shp_06,13.712217,100.472382,46
shp_06,13.712197,100.471954,47
shp_06,13.712251,100.471527,48
shp_06,13.712447,100.470667,49
shp_06,13.713958,100.466813,50
shp_06,13.714179,100.466243,51
shp_06,13.714317,100.465652,52
shp_06,13.714364,100.464898,53
shp_06,13.714265,100.463687,54
shp_06,13.714264,100.46327,55
shp_06,13.714502,100.462268,56
shp_06,13.714841,100.461048,57
shp_06,13.715143,100.460402,58
shp_06,13.715653,100.459778,59
shp_06,13.71621,100.459352,60
shp_06,13.71744,100.458493,61
shp_06,13.718121,100.458197,62
shp_06,13.718879,100.458052,63
shp_06,13.720883,100.457732,64
shp_07,13.73828,100.641675,0
shp_07,13.743742,100.591595,1
shp_07,13.758872,100.525278,2
shp_07,13.760732,100.523153,3
shp_07,13.764457,100.523442,4
shp_07,13.777485,100.528903,5
shp_07,13.7907,100.534192,6
shp_07,13.817432,100.544879,7
shp_07,13.818294,100.544802,8
shp_07,13.81901,100.544659,9
shp_07,13.819922,100.543924,10
shp_07,13.820606,100.543184,11
shp_07,13.821083,100.54225,12
shp_07,13.821453,100.541092,13
shp_07,13.822552,100.529789,14
shp_07,13.822604,100.528995,15
shp_07,13.822563,100.528191,16
shp_07,13.822461,100.527314,17
shp_07,13.822245,100.526533,18
shp_07,13.822018,100.525731,19
shp_07,13.821698,100.524972,20
shp_07,13.82137,100.524296,21
shp_07,13.820917,100.523567,22
shp_07,13.819752,100.522145,23
shp_07,13.814921,100.516754,24
shp_07,13.811941,100.51349,25
shp_07,13.808904,100.5103,26
shp_07,13.804953,100.505934,27
shp_07,13.80209,100.50278,28
shp_07,13.801429,100.501774,29
shp_07,13.800664,100.500683,30
shp_07,13.799843,100.498286,31
shp_07,13.79026,100.471649,32
shp_07,13.785087,100.450308,33
shp_07,13.785008,100.448315,34
shp_07,13.785282,100.446236,35
shp_07,13.786957,100.442743,36
shp_07,13.798093,100.428962,37
shp_07,13.798976,100.425737,38
shp_07,13.802502,100.324413,39
shp_08,13.792249,100.477245,0
shp_08,13.789488,100.480013,1
shp_08,13.785612,100.491793,2
shp_08,13.784341,100.495152,3
shp_08,13.773462,100.519126,4
