shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Export,13.8060279,100.5312958,0,0
Export,13.806041,100.531204,1,10
Export,13.806055,100.531113,2,20
Export,13.806069,100.531021,3,30
Export,13.806082,100.53093,4,40
Export,13.806096,100.530839,5,50
Export,13.8060984,100.5308195,6,60
Export,13.8059341,100.5320039,7,70
Export,13.805946,100.531912,8,80
Export,13.805958,100.531821,9,90
Export,13.805971,100.531729,10,100
Export,13.805983,100.531637,11,110
Export,13.805995,100.531546,12,120
Export,13.806007,100.531454,13,130
Export,13.806019,100.531362,14,140
Export,13.8060279,100.5312958,15,150
Export,13.8057987,100.533125,16,160
Export,13.80581,100.533033,17,170
Export,13.805821,100.532941,18,180
Export,13.805832,100.53285,19,190
Export,13.805843,100.532758,20,200
Export,13.805854,100.532666,21,210
Export,13.805865,100.532574,22,220
Export,13.805876,100.532482,23,230
Export,13.805887,100.532391,24,240
Export,13.805898,100.532299,25,250
Export,13.80591,100.532207,26,260
Export,13.805921,100.532115,27,270
Export,13.805932,100.532023,28,280
Export,13.8059341,100.5320039,29,290
Export,13.805658,100.5337205,30,300
Export,13.805679,100.533631,31,310
Export,13.8057,100.533541,32,320
Export,13.805722,100.533451,33,330
Export,13.805743,100.533361,34,340
Export,13.805764,100.533271,35,350
Export,13.805785,100.533181,36,360
Export,13.8057987,100.533125,37,370
Export,13.8054861,100.5342623,38,380
Export,13.805514,100.534174,39,390
Export,13.805542,100.534086,40,400
Export,13.80557,100.533999,41,410
Export,13.805598,100.533911,42,420
Export,13.805626,100.533823,43,430
Export,13.805653,100.533735,44,440
Export,13.805658,100.5337205,45,450
Export,13.8053559,100.5346539,46,460
Export,13.805385,100.534566,47,470
Export,13.805414,100.534479,48,480
Export,13.805443,100.534391,49,490
Export,13.805472,100.534304,50,500
Export,13.8054861,100.5342623,51,510
Export,13.8051579,100.5352332,52,520
Export,13.805188,100.535146,53,530
Export,13.805218,100.535059,54,540
Export,13.805247,100.534971,55,550
Export,13.805277,100.534884,56,560
Export,13.805307,100.534797,57,570
Export,13.805337,100.53471,58,580
Export,13.8053559,100.5346539,59,590
Export,13.8050277,100.5356088,60,600
Export,13.805058,100.535522,61,610
Export,13.805088,100.535435,62,620
Export,13.805118,100.535347,63,630
Export,13.805148,100.53526,64,640
Export,13.8051579,100.5352332,65,650
Export,13.8044859,100.5366602,66,660
Export,13.804528,100.536578,67,670
Export,13.80457,100.536497,68,680
Export,13.804612,100.536415,69,690
Export,13.804654,100.536333,70,700
Export,13.804696,100.536252,71,710
Export,13.804739,100.53617,72,720
Export,13.804781,100.536088,73,730
Export,13.804823,100.536007,74,740
Export,13.804865,100.535925,75,750
Export,13.804907,100.535843,76,760
Export,13.804949,100.535761,77,770
Export,13.804991,100.53568,78,780
Export,13.8050277,100.5356088,79,790
Export,13.804314,100.5369606,80,800
Export,13.80436,100.536881,81,810
Export,13.804405,100.536801,82,820
Export,13.804451,100.536722,83,830
Export,13.8044859,100.5366602,84,840
Export,13.8039754,100.5375614,85,850
Export,13.80402,100.537481,86,860
Export,13.804066,100.537401,87,870
Export,13.804111,100.537321,88,880
Export,13.804156,100.537241,89,890
Export,13.804201,100.537161,90,900
Export,13.804246,100.537081,91,910
Export,13.804291,100.537001,92,920
Export,13.804314,100.5369606,93,930
Export,13.8036836,100.5381569,94,940
Export,13.803724,100.538074,95,950
Export,13.803765,100.537992,96,960
Export,13.803805,100.537909,97,970
Export,13.803845,100.537827,98,980
Export,13.803886,100.537744,99,990
Export,13.803926,100.537661,100,1000
Export,13.803967,100.537579,101,1010
Export,13.8039754,100.5375614,102,1020
Export,13.8028293,100.5400612,103,1030
Export,13.802867,100.539977,104,1040
Export,13.802905,100.539893,105,1050
Export,13.802942,100.539809,106,1060
Export,13.80298,100.539725,107,1070
Export,13.803018,100.539641,108,1080
Export,13.803055,100.539557,109,1090
Export,13.803093,100.539473,110,1100
Export,13.803131,100.539389,111,1110
Export,13.803168,100.539305,112,1120
Export,13.803206,100.539221,113,1130
Export,13.803244,100.539137,114,1140
Export,13.803281,100.539053,115,1150
Export,13.803319,100.53897,116,1160
Export,13.803357,100.538886,117,1170
Export,13.803394,100.538802,118,1180
Export,13.803432,100.538718,119,1190
Export,13.80347,100.538634,120,1200
Export,13.803507,100.53855,121,1210
Export,13.803545,100.538466,122,1220
Export,13.803583,100.538382,123,1230
Export,13.80362,100.538298,124,1240
Export,13.803658,100.538214,125,1250
Export,13.8036836,100.5381569,126,1260
Export,13.8023865,100.5410536,127,1270
Export,13.802424,100.54097,128,1280
Export,13.802462,100.540885,129,1290
Export,13.802499,100.540801,130,1300
Export,13.802537,100.540717,131,1310
Export,13.802574,100.540633,132,1320
Export,13.802612,100.540549,133,1330
Export,13.802649,100.540465,134,1340
Export,13.802687,100.540381,135,1350
Export,13.802724,100.540297,136,1360
Export,13.802762,100.540213,137,1370
Export,13.802799,100.540129,138,1380
Export,13.8028293,100.5400612,139,1390
Export,13.8018395,100.5423572,140,1400
Export,13.801875,100.542272,141,1410
Export,13.801911,100.542187,142,1420
Export,13.801946,100.542102,143,1430
Export,13.801982,100.542018,144,1440
Export,13.802018,100.541933,145,1450
Export,13.802053,100.541848,146,1460
Export,13.802089,100.541763,147,1470
Export,13.802125,100.541678,148,1480
Export,13.80216,100.541593,149,1490
Export,13.802196,100.541508,150,1500
Export,13.802231,100.541423,151,1510
Export,13.802267,100.541338,152,1520
Export,13.802303,100.541253,153,1530
Export,13.802338,100.541168,154,1540
Export,13.802374,100.541083,155,1550
Export,13.8023865,100.5410536,156,1560
Export,13.8016051,100.5429044,157,1570
Export,13.801641,100.54282,158,1580
Export,13.801678,100.542735,159,1590
Export,13.801714,100.54265,160,1600
Export,13.80175,100.542566,161,1610
Export,13.801786,100.542481,162,1620
Export,13.801823,100.542397,163,1630
Export,13.8018395,100.5423572,164,1640
Export,13.8014436,100.5432531,165,1650
Export,13.801482,100.54317,166,1660
Export,13.801521,100.543086,167,1670
Export,13.80156,100.543003,168,1680
Export,13.801598,100.542919,169,1690
Export,13.8016051,100.5429044,170,1700
Export,13.8011935,100.5436554,171,1710
Export,13.801242,100.543577,172,1720
Export,13.80129,100.5435,173,1730
Export,13.801339,100.543422,174,1740
Export,13.801387,100.543344,175,1750
Export,13.801436,100.543266,176,1760
Export,13.8014436,100.5432531,177,1770
Export,13.8009955,100.5439236,178,1780
Export,13.80105,100.54385,179,1790
Export,13.801104,100.543776,180,1800
Export,13.801159,100.543703,181,1810
Export,13.8011935,100.5436554,182,1820
Export,13.8007715,100.5441114,183,1830
Export,13.800841,100.544053,184,1840
Export,13.800911,100.543995,185,1850
Export,13.80098,100.543936,186,1860
Export,13.8009955,100.5439236,187,1870
Export,13.8004433,100.5443206,188,1880
Export,13.80052,100.544272,189,1890
Export,13.800596,100.544223,190,1900
Export,13.800672,100.544175,191,1910
Export,13.800749,100.544126,192,1920
Export,13.8007715,100.5441114,193,1930
Export,13.7998078,100.5446049,194,1940
Export,13.79989,100.544568,195,1950
Export,13.799973,100.544531,196,1960
Export,13.800055,100.544494,197,1970
Export,13.800137,100.544457,198,1980
Export,13.80022,100.544421,199,1990
Export,13.800302,100.544384,200,2000
Export,13.800385,100.544347,201,2010
Export,13.8004433,100.5443206,202,2020
Export,13.7992948,100.5448367,203,2030
Export,13.799377,100.5448,204,2040
Export,13.799459,100.544762,205,2050
Export,13.799542,100.544725,206,2060
Export,13.799624,100.544688,207,2070
Export,13.799706,100.544651,208,2080
Export,13.799788,100.544614,209,2090
Export,13.7998078,100.5446049,210,2100
Export,13.7989794,100.5450233,211,2110
Export,13.799057,100.544977,212,2120
Export,13.799135,100.544931,213,2130
Export,13.799213,100.544885,214,2140
Export,13.799291,100.544839,215,2150
Export,13.7992948,100.5448367,216,2160
Export,13.7986148,100.5452593,217,2170
Export,13.798691,100.54521,218,2180
Export,13.798767,100.545161,219,2190
Export,13.798843,100.545112,220,2200
Export,13.798919,100.545062,221,2210
Export,13.7989794,100.5450233,222,2220
Export,13.7983699,100.5454578,223,2230
Export,13.79844,100.545401,224,2240
Export,13.798511,100.545343,225,2250
Export,13.798582,100.545286,226,2260
Export,13.7986148,100.5452593,227,2270
Export,13.7980886,100.545726,228,2280
Export,13.798155,100.545663,229,2290
Export,13.79822,100.5456,230,2300
Export,13.798286,100.545537,231,2310
Export,13.798352,100.545475,232,2320
Export,13.7983699,100.5454578,233,2330
Export,13.7979271,100.5458977,234,2340
Export,13.79799,100.545831,235,2350
Export,13.798052,100.545765,236,2360
Export,13.7980886,100.545726,237,2370
Export,13.7977944,100.5461671,238,2380
Export,13.797835,100.546085,239,2390
Export,13.797876,100.546002,240,2400
Export,13.797916,100.54592,241,2410
Export,13.7979271,100.5458977,242,2420
Export,13.7977343,100.5463751,243,2430
Export,13.79776,100.546286,244,2440
Export,13.797786,100.546198,245,2450
Export,13.7977944,100.5461671,246,2460
Export,13.7976927,100.5467292,247,2470
Export,13.797703,100.546637,248,2480
Export,13.797714,100.546546,249,2490
Export,13.797725,100.546454,250,2500
Export,13.7977343,100.5463751,251,2510
Export,13.797677,100.5469652,252,2520
Export,13.797683,100.546873,253,2530
Export,13.797689,100.546781,254,2540
Export,13.7976927,100.5467292,255,2550
Export,13.7977916,100.5504843,256,2560
Export,13.797789,100.550392,257,2570
Export,13.797786,100.550299,258,2580
Export,13.797783,100.550207,259,2590
Export,13.79778,100.550115,260,2600
Export,13.797777,100.550022,261,2610
Export,13.797774,100.54993,262,2620
Export,13.797771,100.549837,263,2630
Export,13.797768,100.549745,264,2640
Export,13.797765,100.549652,265,2650
Export,13.797761,100.54956,266,2660
Export,13.797758,100.549467,267,2670
Export,13.797755,100.549375,268,2680
Export,13.797752,100.549282,269,2690
Export,13.797749,100.54919,270,2700
Export,13.797746,100.549098,271,2710
Export,13.797743,100.549005,272,2720
Export,13.79774,100.548913,273,2730
Export,13.797737,100.54882,274,2740
Export,13.797734,100.548728,275,2750
Export,13.797731,100.548635,276,2760
Export,13.797728,100.548543,277,2770
Export,13.797725,100.54845,278,2780
Export,13.797722,100.548358,279,2790
